File	Text	Initial Label - 2	Initial label - 4	Turks Label	UCDCC label - 2	UCDCC label w/ turk label's formatting	UCDCC label - 4	index
clip_880	what a great christmas	1	1	1	0	1	0	367
clip_881	what a lovely permafall we are having here in Milwaukee not	1	1	1	1	2	3	615
clip_882	Yeah I do.  You know there is this thing called all nighters and apparently I want to pull one.  Not.	1	1	1	0	1	0	584
clip_883	"Yeah. I think so too, because you know how she loves her with all her heart."	1	1	1	1	2	3	260
clip_884	"Yea,I think that too because you know how she loves her with all her heart"	1	1	0	1	2	3	260
clip_885	"Yeah, I thinks so too. Cause you know, how she loves her with all her heart!"	1	1	1	1	2	3	260
clip_886	YOU SEEM SUPER SMART	1	1	0	0	1	0	758
clip_887	YOU SEEM SUPER SMART	1	1	1	0	1	0	758
clip_888	it's snowing in chicago white christmas not	1	3	1	0	1	0	481
clip_889	is there a like tab on me? i'm not a facebook status to be liked on people	1	3	1	1	2	1	495
clip_890	"Ah, the 2014 gamer gate Ebola campaign. how many people did we kill?"	1	3	1	1	2	1	510
clip_891	I wonder what triggered the anxiety.	1	3	2	1	2	1	536
clip_892	I don't think the hereditary baronet wants to encourage a something for nothing culture.	1	3	1	0	1	0	542
clip_893	Wash hands with water. MOH is rubbing this in everyone's face.	1	3	1	1	2	1	545
clip_894	Decemberbessen. Not.	1	3	1	0	1	0	548
clip_895	decide that you want it more than you are afraid of it. Bill Cosby	1	3	0	1	2	1	68
clip_896	"Blue skies, warm air, and the royal accommodation. What more does one need? Education? Not."	1	3	1	0	1	0	421
clip_897	clash update not	1	3	1	0	1	0	304
clip_898	Effigies of Jesus or Allah when she herself hadn't kept any of the Hindu gods.	1	3	0	0	1	2	699
clip_899	"Effigies of Jesus or Allah, when she herself hadn't kept any of the Hindu gods!"	1	3	1	0	1	2	699
clip_900	Guess they didn't the memo reg non-nuclear baltic sea	1	3	1	0	1	0	20
clip_901	"Hmmm, let me think about that."	1	3	0	0	1	0	26
clip_902	I hope you weren't driving when you took that picture.	1	3	1	0	1	0	159
clip_903	I hope you weren't driving when you took that picture.	1	3	1	0	1	0	159
clip_904	i like to think of myself as a broken down justin bieber. my philosophy professor everyone.	1	3	1	1	2	1	692
clip_905	I like to think of myself as a broken down Justin Bieber. My philosophy professor everyone!	1	3	1	1	2	1	692
clip_906	"i think it's your white skin or racist DNA, he is a geneticist too did you know?"	1	3	1	1	2	1	147
clip_907	"I think its's your white skin or racist DNA. He's a geneticist too, did you know."	1	3	1	1	2	1	147
clip_908	If it got the attention of the smartass to comment that. Didn't it work anyway?	1	3	1	1	2	2	181
clip_909	"If we win against poland and scotland, does that put us 56th in the world rankings"	1	3	0	0	1	0	85
clip_910	IF WE WIN AGAINST POLAND AND SCOTLAND DOES THAT PUT US 65TH IN THE RANKINGS	1	3	1	0	1	0	85
clip_911	"If you want to look like a badass, have drama on social media. Not!"	1	3	1	0	1	0	27
clip_912	Isn't this blaming the victim.	1	3	1	1	2	1	246
clip_913	"While we applauded ourselves on getting on the moon, Carl Sagan spoke a truth we all denied."	1	3	0	0	1	0	248
clip_914	"Dualistic, as in, good and evil...right, because that doesn't apply to the real world."	1	3	1	0	1	0	265
clip_915	"No! Now someone will study rumor of ABBV pricing their HCV drug same or higher than gild,"	1	3	0	1	2	1	223
clip_916	"It is good, that very few businesses in EM economies, have borrowed much via dollar dominated loans from international banks."	1	3	2	0	1	0	280
clip_917	I actually think he needs to use the youngsters in this reincarnation.	1	3	2	1	2	1	233
clip_918	"Hold on a minute.  Are you staying, all blonde white women look the same?"	1	3	0	0	1	0	301
clip_919	"No, now someone will start a rumor of abbv pricing their hcb drugs same or higher then gild."	1	3	1	1	2	1	223
clip_920	I actually think you need to use the youngsters in this reincarnation.	1	3	0	1	2	1	233
clip_921	Isn't this blaming the victim?	1	3	1	1	2	1	246
clip_922	"Why we applauded ourselves in getting the moon, Carl Sagan spoke a truth we all denied."	1	3	0	0	1	0	248
clip_923	Dualistic as in good and evil? Right because that doesn't apply to the real world.	1	3	1	1	2	1	276
clip_924	"it is good that very few businesses, govs, and em economies have borrowed much via dollar dominated loans from international banks"	1	3	1	0	1	0	280
clip_925	"Hold on a minute, are you saying all blonde, white women look the same?"	1	3	1	0	1	0	301
clip_926	"Not everyone's really for you, no matter how long you knew them.  And not everyone's a bad person just because it's been a short time."	1	3	0	0	1	0	551
clip_927	Did you know iOS 8 features custom keyboards?	1	3	0	0	1	0	581
clip_928	"I'm not close minded, I'm just dogmatic."	1	3	1	1	2	1	594
clip_929	This team would finish fourth.	1	3	2	0	1	0	611
clip_930	"I guess Paul didn't have buns, hon."	1	3	1	0	1	0	625
clip_931	I will let him know. I'm sure he's shaking/quaking in his boots.	1	3	1	0	1	0	633
clip_932	Maybe you should grind the gym man not	1	3	1	1	2	1	634
clip_933	Did you know iOS 8 features custom keyboards?	1	3	2	0	1	0	581
clip_934	"I guess Paul didn't have buns, hon."	1	3	0	0	1	0	625
clip_935	I will let him know. I'm sure he's shaking/quaking in his boots. Not	1	3	1	0	1	0	633
clip_936	I'm not closed minded. I'm just dogmatic.	1	3	1	1	2	1	594
clip_937	"Maybe you should grind the gym man, not."	1	3	1	1	2	1	634
clip_938	"Not everyone's really for you, no matter how long you knew them.  And not everyone's a bad person just because it's been a short time."	1	3	0	0	1	0	551
clip_939	this team would finish 4th	1	3	2	0	1	0	611
clip_940	"It's funny because people thing I'm quiet, but I'm just listening to everyone's conversations and figuring out your weaknesses to destroy you later in life."	1	3	1	1	2	1	73
clip_941	It's funny because people think I'm quiet but I'm just listening to everyone's conversations and figuring out your weaknesses to destroy you later in life.	1	3	0	1	2	1	73
clip_942	it's international human rights day	1	3	0	0	1	0	422
clip_943	Its funny because people think I am quiet but I'm just listening to everybody's convos and figuring out your weaknesses to destroy you later in life.	1	3	1	1	2	1	73
clip_944	It's so the speaker remembers their talk's over.  Otherwise how would they know?	1	3	2	0	1	0	671
clip_945	it's so the speaker remembers their talk's over otherwise how would they know	1	3	2	0	1	0	671
clip_946	"Jeez I wish the government paid for my food, not!"	1	3	1	0	1	0	389
clip_947	"Jeff Roylat, have a wank over this hashtag. Not!"	1	3	1	0	1	0	762
clip_948	"Jeff Roylat have a wank over this hashtag, not."	1	3	1	0	1	0	762
clip_949	"Left regressives, is that not a label?"	1	3	1	0	1	0	310
clip_950	Make sure you don't say Christmas! The decorate of the holiday.	1	3	0	0	1	0	754
clip_951	Make sure you don't say Christmas! The decorate for the holiday	1	3	1	0	1	0	754
clip_952	maybe only way baby boomers will buy in	1	3	2	1	2	1	22
clip_953	Niagra Falls though. Really?	1	3	1	1	2	1	84
clip_954	"Niagra falls though, really?"	1	3	1	1	2	1	84
clip_955	It's snowing in Chicago. White Christmas! Not..	1	3	0	0	1	0	481
clip_956	Is there like a tab on me? I got a facebook status to be liked by people.	1	3	0	1	2	1	495
clip_957	"Ahh, the 2014 Gamer gate ebola Campaign. How many people did we kill?"	1	3	1	1	2	1	510
clip_958	I don't think the heriditary baronet wants to encourage a something for nothing culture.	1	3	2	0	1	0	542
clip_959	I wonder what triggered the anxiety.	1	3	2	1	2	1	536
clip_960	Wash hands with water? MOH is rubbing this on everyone's face?	1	3	0	1	2	1	546
clip_961	Decemberbessen. Not.	1	3	1	0	1	0	548
clip_962	"People complain about my background pick and all I feel is like, hey don't blame be, Albert E might have spoken those words."	1	3	0	0	1	0	7
clip_963	Guess they didn't get the memo. Right non nuclear baltic sea...	1	3	1	0	1	0	20
clip_964	Who told the hipsters that irony was a thing of the Clinton years? Do they not carry history books in used bookstores in Brooklyn?	1	3	1	1	2	2	24
clip_965	Hmmm let me think about that	1	3	0	0	1	0	26
clip_966	If you wanna look like a badass have drama on social media not	1	3	1	0	1	0	27
clip_967	"Produce mobile apps, not..."	1	3	0	0	1	0	67
clip_968	decide that you wanted more of what you are afraid of it Bill Cosby	1	3	0	1	2	1	68
clip_969	Our three losses. Followed by weeks and an FCS team. Do we get rid of those next year?	1	3	2	0	1	0	116
clip_970	"Our 3 losses followed by weeks and an fcs tane, do we get rid of those next year?"	1	3	0	0	1	0	116
clip_971	"People complain about my background pick and all I feel is like, hey don't blame me Albert E. might have spoken those words."	1	3	0	0	1	0	7
clip_972	Produce mobile apps.  Not.	1	3	1	0	1	0	67
clip_973	"Try to export an azure vm, well that went okay."	1	3	1	0	1	0	622
clip_974	Left regressives; is that not a label?	1	3	0	0	1	0	310
clip_975	Skiing in Reagents Park much? Not!	1	3	1	0	1	0	354
clip_976	"Geez, I wish the government paid for my food. Not."	1	3	1	0	1	0	389
clip_977	"Then later he snuggles up to the royals, with giddy glee."	1	3	0	0	1	0	420
clip_978	"Blue skies, warm air, and the royal accommodation. What more does one need, education? Not!"	1	3	1	0	1	0	421
clip_979	It's International Human Rights Day.	1	3	2	0	1	0	422
clip_980	Skiing in regents park much? Not.	1	3	1	0	1	0	354
clip_981	That bump off the apron looked like it hurts. Was that padding you landed on?	1	3	1	0	1	0	764
clip_982	That's a twist. Algorithms to cause more congestion and increase pollution. Too bizarre to be true. Not!	1	3	1	1	2	2	194
clip_983	"That's a twist. Algorithms to cause more congestion, and increase population. Too bizarre to be true. Not!"	1	3	1	1	2	2	194
clip_984	That bump off the apron looked like it hurt. Was that padding you landed on?	1	3	1	0	1	0	764
clip_985	oh the irony of playing the song on my way to work	1	3	1	1	2	1	90
clip_986	The irony of playing this song on my way to work.	1	3	0	1	2	1	90
clip_987	the irony of playing the song on my way to work	1	3	1	1	2	1	90
clip_988	Then later he snuggles up to the Royals with giddy glee.	1	3	0	0	1	0	420
clip_989	Trust me. It will be out of form Scandinavian reef again too. Champions league do love man city I see.	1	3	1	0	1	0	199
clip_990	Trust me. It will be out of form Scandinavian reef again too. Champions league do love man city I see.	1	3	2	0	1	0	199
clip_991	Want to see something Irish? All of the reasons to be closed..	1	3	0	1	2	1	169
clip_992	"Watching Alison Jackson's portfolio of Work Euro Best 2014, seems she's cracked it.  Celebrity plus stunt equals viral."	1	3	1	0	1	0	156
clip_993	watching Alison Jackson's portfolio of work your best 2014 seems she's cracked it celebrity plus stunt equals viral	1	3	0	0	1	0	156
clip_994	"Well, now the festive season has begun. Let's take a moment to reflect on how much more royalties Slade and Wizard will get."	1	3	0	1	2	1	95
clip_995	Well now the festive season has begun let's take a moment to reflect on how much royalty sleigh ed wizard will get.	1	3	0	1	2	1	95
clip_996	"Well now, the festive season has begun. Let's take a moment to reflect on how much more royalties Slade and Wizard will get."	1	3	1	1	2	1	95
clip_997	What to do with that old motherboard you have laying around?	1	3	1	1	2	1	220
clip_998	What to do with that old motherboard you have laying around	1	3	2	1	2	1	220
clip_999	Who told the hipsters that irony was a thing of the Clinton years? Do they not sell history books in used bookstores in Brooklyn?	1	3	1	1	2	2	24
								
					accuracy			
